filename,calorie,protein,fat,carbo,salt
cook_01_bright120.jpg,331,16.9,18.5,22.1,2.4
cook_01_bright80.jpg,331,16.9,18.5,22.1,2.4
cook_01_flip.jpg,331,16.9,18.5,22.1,2.4
cook_01_orig.jpg,331,16.9,18.5,22.1,2.4
cook_01_rot-15.jpg,331,16.9,18.5,22.1,2.4
cook_01_rot15.jpg,331,16.9,18.5,22.1,2.4
cook_02_bright120.jpg,437,11.9,20.9,48,1.9
cook_02_bright80.jpg,437,11.9,20.9,48,1.9
cook_02_flip.jpg,437,11.9,20.9,48,1.9
cook_02_orig.jpg,437,11.9,20.9,48,1.9
cook_02_rot-15.jpg,437,11.9,20.9,48,1.9
cook_02_rot15.jpg,437,11.9,20.9,48,1.9
cook_03_bright120.jpg,431,15.1,30.4,22.2,1.5
cook_03_bright80.jpg,431,15.1,30.4,22.2,1.5
cook_03_flip.jpg,431,15.1,30.4,22.2,1.5
cook_03_orig.jpg,431,15.1,30.4,22.2,1.5
cook_03_rot-15.jpg,431,15.1,30.4,22.2,1.5
cook_03_rot15.jpg,431,15.1,30.4,22.2,1.5
cook_04_bright120.jpg,421,20.5,20.7,37.4,2.5
cook_04_bright80.jpg,421,20.5,20.7,37.4,2.5
cook_04_flip.jpg,421,20.5,20.7,37.4,2.5
cook_04_orig.jpg,421,20.5,20.7,37.4,2.5
cook_04_rot-15.jpg,421,20.5,20.7,37.4,2.5
cook_04_rot15.jpg,421,20.5,20.7,37.4,2.5
cook_05_bright120.jpg,329,18.3,18.2,18.5,1.1
cook_05_bright80.jpg,329,18.3,18.2,18.5,1.1
cook_05_flip.jpg,329,18.3,18.2,18.5,1.1
cook_05_orig.jpg,329,18.3,18.2,18.5,1.1
cook_05_rot-15.jpg,329,18.3,18.2,18.5,1.1
cook_05_rot15.jpg,329,18.3,18.2,18.5,1.1
cook_06_bright120.jpg,754,21.8,21.6,112.4,2.9
cook_06_bright80.jpg,754,21.8,21.6,112.4,2.9
cook_06_flip.jpg,754,21.8,21.6,112.4,2.9
cook_06_orig.jpg,754,21.8,21.6,112.4,2.9
cook_06_rot-15.jpg,754,21.8,21.6,112.4,2.9
cook_06_rot15.jpg,754,21.8,21.6,112.4,2.9
cook_07_bright120.jpg,534,18.8,10.7,85.1,1.4
cook_07_bright80.jpg,534,18.8,10.7,85.1,1.4
cook_07_flip.jpg,534,18.8,10.7,85.1,1.4
cook_07_orig.jpg,534,18.8,10.7,85.1,1.4
cook_07_rot-15.jpg,534,18.8,10.7,85.1,1.4
cook_07_rot15.jpg,534,18.8,10.7,85.1,1.4
cook_08_bright120.jpg,646,13.6,19.9,100.4,3.5
cook_08_bright80.jpg,646,13.6,19.9,100.4,3.5
cook_08_flip.jpg,646,13.6,19.9,100.4,3.5
cook_08_orig.jpg,646,13.6,19.9,100.4,3.5
cook_08_rot-15.jpg,646,13.6,19.9,100.4,3.5
cook_08_rot15.jpg,646,13.6,19.9,100.4,3.5
cook_09_bright120.jpg,338,11.5,1.6,67.1,1.2
cook_09_bright80.jpg,338,11.5,1.6,67.1,1.2
cook_09_flip.jpg,338,11.5,1.6,67.1,1.2
cook_09_orig.jpg,338,11.5,1.6,67.1,1.2
cook_09_rot-15.jpg,338,11.5,1.6,67.1,1.2
cook_09_rot15.jpg,338,11.5,1.6,67.1,1.2
cook_10_bright120.jpg,379,8,6.2,68.3,2.8
cook_10_bright80.jpg,379,8,6.2,68.3,2.8
cook_10_flip.jpg,379,8,6.2,68.3,2.8
cook_10_orig.jpg,379,8,6.2,68.3,2.8
cook_10_rot-15.jpg,379,8,6.2,68.3,2.8
cook_10_rot15.jpg,379,8,6.2,68.3,2.8
cook_11_bright120.jpg,523,20.7,10.8,80.3,3.2
cook_11_bright80.jpg,523,20.7,10.8,80.3,3.2
cook_11_flip.jpg,523,20.7,10.8,80.3,3.2
cook_11_orig.jpg,523,20.7,10.8,80.3,3.2
cook_11_rot-15.jpg,523,20.7,10.8,80.3,3.2
cook_11_rot15.jpg,523,20.7,10.8,80.3,3.2
cook_12_bright120.jpg,439,12.1,23.3,42.9,2
cook_12_bright80.jpg,439,12.1,23.3,42.9,2
cook_12_flip.jpg,439,12.1,23.3,42.9,2
cook_12_orig.jpg,439,12.1,23.3,42.9,2
cook_12_rot-15.jpg,439,12.1,23.3,42.9,2
cook_12_rot15.jpg,439,12.1,23.3,42.9,2
cook_13_bright120.jpg,160,2.2,3.7,28.2,0.6
cook_13_bright80.jpg,160,2.2,3.7,28.2,0.6
cook_13_flip.jpg,160,2.2,3.7,28.2,0.6
cook_13_orig.jpg,160,2.2,3.7,28.2,0.6
cook_13_rot-15.jpg,160,2.2,3.7,28.2,0.6
cook_13_rot15.jpg,160,2.2,3.7,28.2,0.6
cook_15_bright120.jpg,363,4.5,12.8,56,0.7
cook_15_bright80.jpg,363,4.5,12.8,56,0.7
cook_15_flip.jpg,363,4.5,12.8,56,0.7
cook_15_orig.jpg,363,4.5,12.8,56,0.7
cook_15_rot-15.jpg,363,4.5,12.8,56,0.7
cook_15_rot15.jpg,363,4.5,12.8,56,0.7
cook_16_bright120.jpg,234,17.9,7.2,30.5,1.4
cook_16_bright80.jpg,234,17.9,7.2,30.5,1.4
